deviceName,status,token,activated,errorMsg
ESP32-LOT2025_12A-B098C4F668A9,SUCCESS,XNEhTfgK4kjkQ2SwGDR7,True,
ESP32-LOT2025_12A-C3330CC73900,SUCCESS,XeMkfvJXXoT9tIX7iglD,True,
ESP32-LOT2025_12A-2488169C2CF5,SUCCESS,Wj0seKxmL95SKXQMVz8z,True,
ESP32-LOT2025_12A-4E48B406BE02,SUCCESS,zwBWzm5lnp8AjPh33YkT,True,
ESP32-LOT2025_12A-41A34962C7E3,SUCCESS,rK7L1dFMTZe3JuPYHdG8,True,
ESP32-LOT2025_12A-28CD0D98F87D,SUCCESS,0kafBa1Nkb8QeaDXsqhv,True,
ESP32-LOT2025_12A-E559B9C04A68,SUCCESS,rHIHxjqp4ByoOXGGC0rY,True,
ESP32-LOT2025_12A-D82231E6538F,SUCCESS,9Rr4lOycKj1FuOhW8Mcx,True,
ESP32-LOT2025_12A-3D886AA12A69,SUCCESS,l5HZwMEZOhKDhDB5q7He,True,
ESP32-LOT2025_12A-11E37CEB2670,SUCCESS,kGLeV5HwIThoStUYM27t,True,
